SoldTo,Name,ADRC,ST2,Sales Organization,Distribution Channel,Division,Partner Function,Partner counter,Partner,Name,Partner Description,Default Partner,ADRC,ST2
1004312,ZZA B C SPLY 055 PONTIAC,87552,55,1210,0,30,BP,1,6004275,A B C SPLY BELOIT,,X,75986,
1004312,ZZA B C SPLY 055 PONTIAC,87552,55,1210,0,30,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004312,ZZA B C SPLY 055 PONTIAC,87552,55,1210,0,30,SH,0,1004312,ZZA B C SPLY 055 PONTIAC,,,87552,55
1004312,ZZA B C SPLY 055 PONTIAC,87552,55,1210,0,30,SP,0,1004312,ZZA B C SPLY 055 PONTIAC,,,87552,55
1004312,ZZA B C SPLY 055 PONTIAC,87552,55,1210,0,40,BP,1,6004275,A B C SPLY BELOIT,,X,75986,
1004312,ZZA B C SPLY 055 PONTIAC,87552,55,1210,0,40,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004312,ZZA B C SPLY 055 PONTIAC,87552,55,1210,0,40,SH,0,1004312,ZZA B C SPLY 055 PONTIAC,,,87552,55
1004312,ZZA B C SPLY 055 PONTIAC,87552,55,1210,0,40,SP,0,1004312,ZZA B C SPLY 055 PONTIAC,,,87552,55
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,30,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,30,PY,0,5002047,A B C SPLY BELOIT,,,76274,
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,30,SH,0,1004314,ZZA B C SPLY 098 WARREN,,,87554,98
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,30,SP,0,1004314,ZZA B C SPLY 098 WARREN,,,87554,98
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,40,BP,1,6004275,A B C SPLY BELOIT,,X,75986,
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,40,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,40,SH,0,1004314,ZZA B C SPLY 098 WARREN,,,87554,98
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,40,SH,1,3225732,J/ALGONQUIN MIDDLE SCHOOL/ABC,,,84811,
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,40,SH,2,3226591,J/WOODLAND ELEMENTARY SCHOOL/ABC,,,85522,
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,40,SH,3,3227457,J/NORTH BRANCH ELEM SCHOOL/ABC,,,86217,
1004314,ZZA B C SPLY 098 WARREN,87554,98,1210,0,40,SP,0,1004314,ZZA B C SPLY 098 WARREN,,,87554,98
1004570,ZZA B C SPLY 431 WOBURN,87642,431,1210,0,30,BP,0,6004275,A B C SPLY BELOIT,,,75986,
