location_type,location_number,location,emailAddress,permission_type,permission_value,
BRANCH,2,BRANCH002,BRANCH002@abcsupply.com,AD_SOLDTO,0001010583_30_1210,
BRANCH,2,BRANCH002,BRANCH002@abcsupply.com,OA_SOLDTO,0001010583_30_1210,
BRANCH,4,BRANCH004,BRANCH004@abcsupply.com,AD_SOLDTO,0001006203_30_1210,
BRANCH,4,BRANCH004,BRANCH004@abcsupply.com,OA_SOLDTO,0001006203_30_1210,
BRANCH,5,BRANCH005,BRANCH005@abcsupply.com,AD_SOLDTO,0001005123_30_1210,
BRANCH,5,BRANCH005,BRANCH005@abcsupply.com,OA_SOLDTO,0001005123_30_1210,
BRANCH,6,BRANCH006,BRANCH006@abcsupply.com,AD_SOLDTO,0001005333_30_1210,
BRANCH,6,BRANCH006,BRANCH006@abcsupply.com,OA_SOLDTO,0001005333_30_1210,
BRANCH,7,BRANCH007,BRANCH007@abcsupply.com,AD_SOLDTO,0001005112_30_1210,
BRANCH,7,BRANCH007,BRANCH007@abcsupply.com,OA_SOLDTO,0001005112_30_1210,
BRANCH,8,BRANCH008,BRANCH008@abcsupply.com,AD_SOLDTO,0001033119_30_1210,
BRANCH,8,BRANCH008,BRANCH008@abcsupply.com,OA_SOLDTO,0001033119_30_1210,
BRANCH,9,BRANCH009,BRANCH009@abcsupply.com,AD_SOLDTO,0001034224_30_1210,
BRANCH,9,BRANCH009,BRANCH009@abcsupply.com,OA_SOLDTO,0001034224_30_1210,
BRANCH,10,BRANCH010,BRANCH010@abcsupply.com,AD_SOLDTO,0001005094_30_1210,
BRANCH,10,BRANCH010,BRANCH010@abcsupply.com,OA_SOLDTO,0001005094_30_1210,
BRANCH,11,BRANCH011,BRANCH011@abcsupply.com,AD_SOLDTO,0001006983_30_1210,
BRANCH,11,BRANCH011,BRANCH011@abcsupply.com,OA_SOLDTO,0001006983_30_1210,
BRANCH,12,BRANCH012,BRANCH012@abcsupply.com,AD_SOLDTO,0001005064_30_1210,
BRANCH,12,BRANCH012,BRANCH012@abcsupply.com,OA_SOLDTO,0001005064_30_1210,
BRANCH,13,BRANCH013,BRANCH013@abcsupply.com,AD_SOLDTO,0001017211_30_1210,
BRANCH,13,BRANCH013,BRANCH013@abcsupply.com,OA_SOLDTO,0001017211_30_1210,
BRANCH,14,BRANCH014,BRANCH014@abcsupply.com,AD_SOLDTO,0001005085_30_1210,
BRANCH,14,BRANCH014,BRANCH014@abcsupply.com,OA_SOLDTO,0001005085_30_1210,
BRANCH,15,BRANCH015,BRANCH015@abcsupply.com,AD_SOLDTO,0001006031_30_1210,
BRANCH,15,BRANCH015,BRANCH015@abcsupply.com,OA_SOLDTO,0001006031_30_1210,
BRANCH,16,BRANCH016,BRANCH016@abcsupply.com,AD_SOLDTO,0001005121_30_1210,
BRANCH,16,BRANCH016,BRANCH016@abcsupply.com,OA_SOLDTO,0001005121_30_1210,
BRANCH,17,BRANCH017,BRANCH017@abcsupply.com,AD_SOLDTO,0001005719_30_1210,
BRANCH,17,BRANCH017,BRANCH017@abcsupply.com,OA_SOLDTO,0001005719_30_1210,
BRANCH,18,BRANCH018,BRANCH018@abcsupply.com,AD_SOLDTO,0001005125_30_1210,
BRANCH,18,BRANCH018,BRANCH018@abcsupply.com,OA_SOLDTO,0001005125_30_1210,
BRANCH,19,BRANCH019,BRANCH019@abcsupply.com,AD_SOLDTO,0001005815_30_1210,
BRANCH,19,BRANCH019,BRANCH019@abcsupply.com,OA_SOLDTO,0001005815_30_1210,
BRANCH,20,BRANCH020,BRANCH020@abcsupply.com,AD_SOLDTO,0001005114_30_1210,
BRANCH,20,BRANCH020,BRANCH020@abcsupply.com,OA_SOLDTO,0001005114_30_1210,
BRANCH,21,BRANCH021,BRANCH021@abcsupply.com,AD_SOLDTO,0001006537_30_1210,
BRANCH,21,BRANCH021,BRANCH021@abcsupply.com,OA_SOLDTO,0001006537_30_1210,
BRANCH,22,BRANCH022,BRANCH022@abcsupply.com,AD_SOLDTO,0001031602_30_1210,
BRANCH,22,BRANCH022,BRANCH022@abcsupply.com,OA_SOLDTO,0001031602_30_1210,
BRANCH,23,BRANCH023,BRANCH023@abcsupply.com,AD_SOLDTO,0001005835_30_1210,
BRANCH,23,BRANCH023,BRANCH023@abcsupply.com,OA_SOLDTO,0001005835_30_1210,
BRANCH,24,BRANCH024,BRANCH024@abcsupply.com,AD_SOLDTO,0001005389_30_1210,
BRANCH,24,BRANCH024,BRANCH024@abcsupply.com,OA_SOLDTO,0001005389_30_1210,
BRANCH,26,BRANCH026,BRANCH026@abcsupply.com,AD_SOLDTO,0001005095_30_1210,
BRANCH,26,BRANCH026,BRANCH026@abcsupply.com,OA_SOLDTO,0001005095_30_1210,
BRANCH,27,BRANCH027,BRANCH027@abcsupply.com,AD_SOLDTO,0001006530_30_1210,
BRANCH,27,BRANCH027,BRANCH027@abcsupply.com,OA_SOLDTO,0001006530_30_1210,
BRANCH,28,BRANCH028,BRANCH028@abcsupply.com,AD_SOLDTO,0001005065_30_1210,
BRANCH,28,BRANCH028,BRANCH028@abcsupply.com,OA_SOLDTO,0001005065_30_1210,
BRANCH,29,BRANCH029,BRANCH029@abcsupply.com,AD_SOLDTO,0001005180_30_1210,
BRANCH,29,BRANCH029,BRANCH029@abcsupply.com,OA_SOLDTO,0001005180_30_1210,
BRANCH,30,BRANCH030,BRANCH030@abcsupply.com,AD_SOLDTO,0001027252_30_1210,
